kazusn (),1266
k09090806 (JY),475
hesione (我離開我自己),439
mdbm (Chaos),432
zeze (無尾貓),364
oblivionall (oblivion),337
burgergirl (20 seconds insane),311
qqqlisa (兔子蹦蹦跳跳),298
Astragali (Soldier A),286
s00azure (大叔，愛が重い),257
eternalfall (不能飛所以墜落),254
ktta (一手好牌),238
littlewren (wren),204
Llingjing (冷劍塵),200
zeze (籠中鳥),194
gossiplarry (賴瑞),192
p1026 (豬),181
viable (viable),179
fervorya (一丄上止正),177
yehz (葉子),173
epoch3004 (木字旁),171
ezk (蒲葵貓),171
lickmebaby (孤獨、混亂、失落感..),156
DavidJam (平安是福),144
pinpo (孤獨患者),143
DavidJam (平安又有錢才是福),142
sea212 (sea212),139
meatkai (凱),137
s00azure (大叔 [ - 班長 - ]),135
isaki1987 (N/A),131
z881331 (絨毛雞),128
Astragali (靜默回音),127
angel86015 (小槑),118
kid3875215 (銘哥),104
Miuramakii (楚楚),92
FlyFuta (腐來腐太),88
lyviasun (:)),88
Nishikino252 (にこちゃんのNo.1ファン),86
UntermRad (黃色檸檬樹),71
yukilala (水藍色),71
belt (可可-smokin' cigarette),70
testguest (小晃晃之水藍色瘋言瘋語),66
FlyFuta (想做啥就做啥的腐太),65
mayday0609 (Rock!!!),64
lickmebaby (一點辦法都沒有嗎),62
rainchan (夜),62
bluesky209 (空空),61
s00azure (- 班長 -),60
QQcutecat (QQ cat),59
swingcola (   ),59
heartfine (關妍),57
MATSUMIA (MSTSUMIA),57
lickmebaby (*0*),56
ilovemus (io),52
jayyen7 (小傑),52
tracyming (汪汪),52
mdbaco (一路好走),52
favit (living),51
oubravo (箱子),51
www329 ( 川 川),50
a19930615 (喵喵),49
shiar6918 (綠繡貓頭鷹),48
ui5550 (雨一直下),47
stardust2410 (搖滾芭比),45
Auld1228 (而立之年...我依舊困惑~~),43
EucalyDog (Eucalyptus),42
"PeopleLife (PeopleLife,Ocean Wild)",41
DavidJam (改過向善ing.....),41
sawakiba (狼與花),41
"koxinga (""肇事""孤兒)",40
iflifer (iflifer),40
gigigin (情人知己),39
EKARD (伊卡),39
fervorya (雞雞雞雞雞雞雞雞雞雞雞),39
wasse0402 (孤獨一隻蝦),38
babylickme (當白雪染遍了街頭...),38
knai (K),37
jytong95130 (小童),37
j86968696n (小蝦),37
georgebox (Orz3344),36
sanelle (sanelle),36
ADHD (注意力不足過動症),36
nagnukiy (冠),35
